Title,BodyPart,Level,Rating
T-Bar Row with Handle,Back,Intermediate,9.5
T-Bar Row,Back,Intermediate,8.9
Alternating sit-through with crunch,Back,Intermediate,8.9
Seated Cable Rows,Back,Intermediate,8.8
Upside-down pull-up,Back,Intermediate,8.8
Smith machine inverted row,Back,Intermediate,8.2
Lying T-Bar Row,Back,Intermediate,7.9
Suspended row,Back,Intermediate,7.6
Inverted Row with Sps,Back,Beginner,6.4
One Arm Chin-Up,Back,Beginner,6.3
Sled Row,Back,Beginner,0.0
Seated Cable Rows,Back,Intermediate,8.8
Single-arm cable seated row,Back,Intermediate,8.5
Rower,Back,Intermediate,8.9
Seated Cable Rows,Back,Intermediate,8.8
Smith machine bent-over row,Back,Intermediate,8.1
Leverage High Row,Back,Beginner,7.9
Mixed Grip Chin,Back,Intermediate,8.2
Rhomboids SMR,Back,Intermediate,5.7
Spinal Stretch,Back,Intermediate,5.3
Upper Back Stretch,Back,Intermediate,4.2
Back Stretch,Back,Intermediate,3.8
Upright Row - With Bands,Shoulders,Beginner,7.8
Barbell shrug,Shoulders,Intermediate,8.4
Barbell behind-the-back shrug,Shoulders,Intermediate,8.3
Clean Shrug,Shoulders,Beginner,6.8
Snatch Shrug,Shoulders,Beginner,6.2
Kettlebell sumo deadlift high pull,Shoulders,Intermediate,8.7
Standing dumbbell shrug,Shoulders,Intermediate,8.7
Standing dumbbell upright row,Shoulders,Intermediate,8.7
Lying Face Down Plate Neck Resistance,Neck,Beginner,9.3
Lying Face Up Plate Neck Resistance,Neck,Beginner,8.4
Seated Head Harness Neck Resistance,Neck,Beginner,7.6
Cable straight-bar upright row,Shoulders,Intermediate,8.1
Cable shrug,Shoulders,Intermediate,7.9
Smith machine shrug,Shoulders,Intermediate,9.2
Leverage Shrug,Shoulders,Intermediate,9.1
Calf-Machine Shoulder Shrug,Shoulders,Beginner,8.7
Smith machine behind-the-back shrug,Shoulders,Intermediate,7.8
Smith machine upright row,Shoulders,Intermediate,7.3
Isometric Neck Exercise - Sides,Neck,Beginner,7.4
Isometric Neck Exercise - Front And Back,Neck,Beginner,6.4
Neck Bridge Prone,Neck,Beginner,5.7
Side Neck Stretch,Neck,Intermediate,4.8
Neck-SMR,Neck,Intermediate,2.8
Scapular Pull-Up,Shoulders,Beginner,6.6
Single-leg depth squat,Legs,Intermediate,9.0
Squats - With Bands,Legs,Beginner,5.8
Hip Flexion with Band,Legs,Beginner,0.0
Forward Band Walk,Legs,Beginner,0.0
Legs SMR,Legs,Intermediate,5.4
Clean from Blocks,Legs,Beginner,9.5
Barbell Full Squat,Legs,Intermediate,9.4
Barbell back squat to box,Legs,Intermediate,9.3
Push-press,Legs,Intermediate,9.3
Power snatch-,Legs,Expert,9.3
Hang Clean,Legs,Beginner,9.3
Barbell walking lunge,Legs,Intermediate,9.2
Olympic Squat,Legs,Beginner,9.1
Narrow-stance squat,Legs,Expert,9.0
Box Squat with Bands,Legs,Beginner,9.0
Weighted Jump Squat,Legs,Beginner,9.0
Squat with Chains,Legs,Beginner,9.0
Barbell Squat,Legs,Intermediate,8.9
Barbell front squat,Legs,Intermediate,8.9
Barbell forward lunge,Legs,Expert,8.8
Smith machine box squat,Legs,Intermediate,8.8
Barbell step-up,Legs,Intermediate,8.7
Barbell Bulgarian split squat,Legs,Intermediate,8.5
Hang Clean - Below the Knees,Legs,Beginner,8.5
Barbell hack squat,Legs,Expert,8.5
Hack Squat,Legs,Intermediate,8.4
Barbell thruster,Legs,Intermediate,8.3
Split Jerk,Legs,Beginner,8.3
Push-jerk,Legs,Intermediate,8.2
Barbell back squat,Legs,Intermediate,8.2
Zercher squat,Legs,Intermediate,8.1
Jefferson Squats,Legs,Beginner,8.0
Jerk Dip Squat,Legs,Beginner,8.0
Barbell side split squat,Legs,Intermediate,7.8
Frankenstein Squat,Legs,Beginner,7.7
Barbell speed squat,Legs,Intermediate,7.7
Single-arm side deadlift,Legs,Expert,7.5
Barbell Squat To A Bench,Legs,Intermediate,7.4
Clean Pull,Legs,Beginner,7.2
Front Barbell Squat To A Bench,Legs,Beginner,5.3
Barbell reverse lunge,Legs,Intermediate,0.0
Split Clean,Legs,Beginner,0.0
Close-stance dumbbell front squat,Legs,Intermediate,0.0
Front Squat (Clean Grip),Legs,Beginner,0.0
Barbell front squat to back squat,Legs,Intermediate,0.0
Squat Jerk,Legs,Beginner,0.0
Barbell Front-To-Back Squat,Legs,Intermediate,0.0
Box Squat with Chains,Legs,Beginner,0.0
Snatch from Blocks,Legs,Beginner,0.0
Power Snatch from Blocks,Legs,Beginner,0.0
Front Squat (Bodybuilder),Legs,Intermediate,0.0
Barbell step-down reverse lunge,Legs,Intermediate,0.0
Squat with Bands,Legs,Beginner,0.0
Heaving Snatch Balance,Legs,Beginner,0.0
Snatch Balance,Legs,Beginner,0.0
Reverse Band Power Squat,Legs,Beginner,0.0
Front Squats With Two Kettlebells,Legs,Beginner,9.2
Kettlebell Pistol Squat,Legs,Beginner,9.1
Goblet Squat,Legs,Intermediate,8.7
Kettlebell Curtsy Lunge,Legs,Beginner,7.7
Single-arm kettlebell overhead squat,Legs,Expert,7.0
Kettlebell side squat,Legs,Intermediate,0.0
Kettlebell sumo squat,Legs,Intermediate,0.0
Kettlebell thruster progression,Legs,Intermediate,0.0
Kettlebell power clean,Legs,Intermediate,0.0
Kettlebell fire feet,Legs,Intermediate,0.0
Single Arm Overhead Kettlebell Squat,Legs,Intermediate,0.0
Dumbbell Goblet Squat,Legs,Intermediate,8.9
Dumbbell squat,Legs,Intermediate,8.9
Dumbbell Lunges,Legs,Intermediate,8.8
Dumbbell reverse lunge,Legs,Intermediate,8.7
Split Squat with Dumbbells,Legs,Intermediate,8.6
Dumbbell sumo squat,Legs,Intermediate,8.3
Dumbbell seated box jump,Legs,Intermediate,8.3
Dumbbell step-up,Legs,Intermediate,8.2
Dumbbell Walking Lunge,Legs,Intermediate,7.3
Dumbbell Squat To A Bench,Legs,Beginner,7.0
Dumbbell thruster,Legs,Intermediate,0.0
Dumbbell front squat,Legs,Intermediate,0.0
Single-Arm Dumbbell Overhead Squat,Legs,Beginner,0.0
Dumbbell lateral hop,Legs,Intermediate,0.0
Dumbbell lunge with curl,Legs,Intermediate,0.0
Dumbbell Pistol Squat,Legs,Beginner,0.0
Dumbbell Squat Snatch,Legs,Beginner,0.0
Dumbbell Alternating Lunge,Legs,Beginner,0.0
Dumbbell jump squat,Legs,Intermediate,0.0
Dumbbell Side Lunge,Legs,Beginner,0.0
Tire flip,Legs,Intermediate,9.4
Single Leg Push-off,Legs,Beginner,9.2
Bear crawl sled drag,Legs,Intermediate,9.0
Bicycling,Legs,Intermediate,8.9
Hex-bar deadlift,Legs,Intermediate,8.8
Skating,Legs,Beginner,8.4
Weighted sissy squat,Legs,Intermediate,8.4
Dumbbell step-up,Legs,Intermediate,8.2
Yoke Walk,Legs,Beginner,8.0
Front Cone Hops (or hurdle hops),Legs,Beginner,7.3
Weighted Squat,Legs,Beginner,7.2
Bench skip,Legs,Intermediate,7.0
Backward Drag,Legs,Beginner,6.9
Sled Push,Legs,Intermediate,6.8
Barbell squat with plate slide,Legs,Intermediate,6.7
Suspended split squat,Legs,Intermediate,6.5
Intermediate Hip Flexor and Quad Stretch,Legs,Beginner,6.3
Sled Drag - Harness,Legs,Intermediate,0.0
Burpee over barbell,Legs,Intermediate,0.0
Dumbbell walking lunge-,Legs,Intermediate,0.0
Single-Leg Box Jump,Legs,Beginner,0.0
Conan's Wheel,Legs,Beginner,0.0
Single-Leg Hop Progression,Legs,Beginner,0.0
Rickshaw Deadlift,Legs,Beginner,0.0
Single-cone sprint drill,Legs,Intermediate,0.0
Single-Leg Stride Jump,Legs,Beginner,0.0
Trap Bar Jump,Legs,Beginner,0.0
Single-Leg Lateral Hop,Legs,Beginner,0.0
Burpee Box-Jumps,Legs,Intermediate,0.0
Sandbag Load,Legs,Beginner,0.0
Single-leg knee-tap squat,Legs,Intermediate,0.0
Car Deadlift,Legs,Beginner,0.0
Barbell Squat To A Box,Legs,Beginner,0.0
Double Under,Legs,Beginner,0.0
Cable Hip Adduction,Legs,Beginner,8.2
Cable Deadlifts,Legs,Beginner,7.7
Single-Leg Press,Legs,Intermediate,9.6
Stair climber,Legs,Intermediate,9.1
Leg Press,Legs,Intermediate,8.8
Elliptical trainer,Legs,Intermediate,8.8
Narrow-stance leg press,Legs,Intermediate,8.8
Narrow Stance Hack Squats,Legs,Beginner,8.8
Stairmaster,Legs,Intermediate,8.8
Machine Squat,Legs,Intermediate,8.8
Smith machine back squat,Legs,Intermediate,8.7
Leg Extensions,Legs,Intermediate,8.5
Treadmill running,Legs,Intermediate,8.4
Stationary bike,Legs,Intermediate,8.3
Treadmill jogging,Legs,Intermediate,8.3
Recumbent Bike,Legs,Beginner,8.2
Smith machine leg press,Legs,Intermediate,8.0
Lying Machine Squat,Legs,Intermediate,8.0
Seated Leg Press,Legs,Intermediate,7.7
Smith machine pistol squat,Legs,Intermediate,7.0
Leverage Deadlift,Legs,Beginner,0.0
Jumping rope,Legs,Intermediate,9.2
Forward lunge,Legs,Intermediate,9.0
Side-to-side box skip,Legs,Intermediate,8.9
Bodyweight squat,Legs,Intermediate,8.8
Broad jump,Legs,Intermediate,8.8
Burpee,Legs,Intermediate,8.8
Trail Running/Walking,Legs,Intermediate,8.7
Scissors Jump,Legs,Expert,8.5
Jumping jack-,Legs,Intermediate,8.5
Arms-crossed jump squat,Legs,Intermediate,8.4
Bodyweight Reverse Lunge,Legs,Intermediate,8.3
Alien Squat,Legs,Beginner,8.2
Treadmill walking,Legs,Intermediate,8.2
Rocket Jump,Legs,Beginner,8.0
Depth jump box jump,Legs,Intermediate,8.0
Bodyweight Walking Lunge,Legs,Intermediate,8.0
Walking High Knees,Legs,Intermediate,7.8
Lateral lunge,Legs,Intermediate,7.8
Jump Squat,Legs,Intermediate,7.6
Over bench jump,Legs,Intermediate,7.5
Split Jump,Legs,Intermediate,7.5
90-degree jump squat,Legs,Intermediate,7.0
Skip,Legs,Intermediate,5.5
Kneeling hip flexor stretch,Legs,Intermediate,5.4
Iron Crosses (stretch),Legs,Intermediate,5.2
All Fours Quad Stretch,Legs,Beginner,5.0
Lying quad stretch with band,Legs,Intermediate,4.9
One Half Locust,Legs,Intermediate,4.7
Standing Hip Flexors,Legs,Intermediate,4.4
Looking At Ceiling,Legs,Intermediate,4.3
Rear Leg Raises,Legs,Beginner,3.4
On Your Side Quad Stretch,Legs,Intermediate,3.3
On-Your-Back Quad Stretch,Legs,Intermediate,3.3
Standing Elevated Quad Stretch,Legs,Intermediate,2.7
Thigh killa,Legs,Intermediate,0.0
Southpaw sprawl,Legs,Intermediate,0.0
Stride Jump Crossover,Legs,Intermediate,0.0
Side Standing Long Jump,Legs,Intermediate,0.0
Wall squat,Legs,Intermediate,0.0
Slide Jump Shot,Legs,Beginner,0.0
Sprawl frog kick,Legs,Intermediate,0.0
Lateral Speed Step,Legs,Intermediate,0.0
Side Hop-Sprint,Legs,Intermediate,0.0
Pop squat,Legs,Intermediate,0.0
Star Jump,Legs,Beginner,0.0
Side Lunge Touching Heel,Legs,Intermediate,0.0
Lying Prone Legs,Legs,Beginner,0.0
Fast Kick With Arm Circles,Legs,Beginner,0.0
Single-leg box squat,Legs,Intermediate,0.0
Defensive Slide,Legs,Beginner,0.0
Quick Leap,Legs,Intermediate,0.0
Vertical Mountain Climber,Legs,Beginner,0.0
Reverse Burpee,Legs,Beginner,0.0
Football Up-Down,Legs,Beginner,0.0
Jump lunge heel kick,Legs,Intermediate,0.0
Burpee box jump,Legs,Intermediate,0.0
Linear Depth Jump,Legs,Intermediate,0.0
Slow Jog,Legs,Beginner,0.0
High knees,Legs,Intermediate,0.0
Jumping Jack,Legs,Intermediate,0.0
Square Hop,Legs,Beginner,0.0
Running lunge,Legs,Intermediate,0.0
In-out jump squat,Legs,Intermediate,0.0
Gorilla squat,Legs,Intermediate,0.0
Burpee tuck jump,Legs,Intermediate,0.0
Speed skater,Legs,Intermediate,0.0
Jumping knee up-down,Legs,Intermediate,0.0
Jump Lunge To Feet Jack,Legs,Intermediate,0.0
Medicine ball ninja,Legs,Intermediate,0.0
Alternate Leg Diagonal Bound,Legs,Beginner,6.9
Sit Squats,Legs,Beginner,6.1
Frog Hops,Legs,Beginner,3.9
Dumbbell lateral hop to sprint,Legs,Intermediate,0.0
Smith machine lunge sprint,Legs,Intermediate,0.0
Wall ball toss,Legs,Intermediate,8.0
Bosu Ball Squat,Legs,Beginner,0.0
Internal Rotation with Band,Shoulders,Beginner,8.3
Band Pull Apart,Shoulders,Intermediate,8.2
Back Flyes - With Bands,Shoulders,Beginner,8.1
Lateral Raise - With Bands,Shoulders,Beginner,7.9
Shoulder Press - With Bands,Shoulders,Beginner,7.6
External Rotation with Band,Shoulders,Beginner,0.0
Clean and press,Shoulders,Intermediate,9.4
Clean and jerk,Shoulders,Intermediate,9.3
Military press,Shoulders,Intermediate,9.3
Seated barbell shoulder press,Shoulders,Intermediate,9.2
Snatch-Grip Behind-The-Neck Overhead Press,Shoulders,Beginner,9.0
Standing Bradford press,Shoulders,Intermediate,8.7
Barbell Shoulder Press,Shoulders,Intermediate,8.7
Barbell rear delt bent-over row,Shoulders,Intermediate,8.5
Barbell upright row,Shoulders,Intermediate,8.3
Bradford/Rocky Presses,Shoulders,Beginner,8.2
Lying rear delt fly,Shoulders,Intermediate,8.2
Machine Shoulder (Military) Press,Shoulders,Intermediate,8.0
Standing Barbell Press Behind Neck,Shoulders,Intermediate,7.9
Barbell front raise,Shoulders,Intermediate,7.4
Overhead bar front raise,Shoulders,Intermediate,7.2
Incline barbell shoulder protraction,Shoulders,Intermediate,6.5
Behind-the-head push-press,Shoulders,Intermediate,6.5
Rack Delivery,Shoulders,Beginner,0.0
Smith Incline Shoulder Raise,Shoulders,Beginner,0.0
Tall Muscle Snatch,Shoulders,Beginner,0.0
Axle Clean And Press,Shoulders,Beginner,0.0
Jerk Balance,Shoulders,Beginner,0.0
Single-arm kettlebell push-press,Shoulders,Intermediate,9.3
Two-Arm Kettlebell Military Press,Shoulders,Beginner,8.7
Alternating Kettlebell Press,Shoulders,Beginner,8.6
Single-arm kettlebell snatch,Shoulders,Intermediate,8.6
Single-arm kettlebell clean and jerk,Shoulders,Intermediate,8.4
Kettlebell pirate ship,Shoulders,Intermediate,7.8
Two-Arm Kettlebell Clean,Shoulders,Beginner,7.5
Double Kettlebell Push Press,Shoulders,Intermediate,7.5
Kettlebell Seated Press,Shoulders,Beginner,7.0
Double Kettlebell Jerk,Shoulders,Beginner,7.0
Kettlebell Arnold Press,Shoulders,Beginner,6.8
Double-kettlebell windmill,Shoulders,Intermediate,3.0
One-Arm Kettlebell Split Snatch,Shoulders,Beginner,0.0
One-Arm Kettlebell Para Press,Shoulders,Beginner,0.0
One-Arm Kettlebell Split Jerk,Shoulders,Beginner,0.0
One-Arm Kettlebell Military Press To The Side,Shoulders,Beginner,0.0
One-Arm Kettlebell Jerk,Shoulders,Beginner,0.0
Double Kettlebell Snatch,Shoulders,Beginner,0.0
Two-Arm Kettlebell Jerk,Shoulders,Beginner,0.0
Dumbbell front raise to lateral raise,Shoulders,Intermediate,9.5
Single-arm palm-in dumbbell shoulder press,Shoulders,Intermediate,9.4
Standing palms-in shoulder press,Shoulders,Intermediate,9.3
Seated Dumbbell Press,Shoulders,Intermediate,9.1
Standing dumbbell shoulder press,Shoulders,Intermediate,9.1
Single-arm lateral raise,Shoulders,Intermediate,9.1
Power Partials,Shoulders,Beginner,9.1
Incline dumbbell reverse fly,Shoulders,Intermediate,9.1
Overhead dumbbell front raise,Shoulders,Intermediate,9.1
Seated dumbbell shoulder press,Shoulders,Intermediate,9.0
Alternating standing shoulder press,Shoulders,Intermediate,9.0
Single-arm incline rear delt raise,Shoulders,Intermediate,9.0
Alternating dumbbell front raise,Shoulders,Intermediate,9.0
Alternating Deltoid Raise,Shoulders,Intermediate,9.0
Single-dumbbell front raise,Shoulders,Intermediate,9.0
Arnold press,Shoulders,Intermediate,8.9
Single-arm standing shoulder press,Shoulders,Intermediate,8.8
Dumbbell front raise,Shoulders,Intermediate,8.8
Bent-over dumbbell rear delt row,Shoulders,Intermediate,8.7
Incline dumbbell front raise,Shoulders,Intermediate,8.7
Side Lateral Raise,Shoulders,Intermediate,8.6
Dumbbell external shoulder rotation,Shoulders,Intermediate,8.5
Single-arm incline lateral raise,Shoulders,Intermediate,8.5
Seated rear delt fly,Shoulders,Intermediate,8.4
Dumbbell Raise,Shoulders,Beginner,8.4
Seated Side Lateral Raise,Shoulders,Intermediate,8.3
Dumbbell Lying Rear Lateral Raise,Shoulders,Intermediate,8.3
Head-on-bench dumbbell rear delt raise,Shoulders,Intermediate,8.2
Cuban press,Shoulders,Intermediate,8.0
Reverse Flyes With External Rotation,Shoulders,Beginner,8.0
Single-arm side lying rear fly,Shoulders,Intermediate,7.9
Single-arm dumbbell upright row,Shoulders,Intermediate,7.8
Dumbbell Scaption,Shoulders,Beginner,7.8
See-Saw Press (Alternating Side Press),Shoulders,Beginner,7.8
Dumbbell Incline Shoulder Raise,Shoulders,Beginner,7.4
Single-arm half-kneeling shoulder press,Shoulders,Intermediate,0.0
Dumbbell Clean And Jerk,Shoulders,Beginner,0.0
Car driver,Shoulders,Intermediate,9.0
Arnold press,Shoulders,Intermediate,8.9
Front Plate Raise,Shoulders,Intermediate,8.9
Battle ropes,Shoulders,Intermediate,8.6
Seated rear delt fly,Shoulders,Intermediate,8.4
Circus Bell,Shoulders,Beginner,7.7
Landmine Linear Jammer,Shoulders,Intermediate,6.8
Crucifix,Shoulders,Beginner,6.0
Bar shoulder extension stretch,Shoulders,Beginner,5.3
Chair Upper Body Stretch,Shoulders,Beginner,4.1
Sled Reverse Flye,Shoulders,Intermediate,0.0
Plate shoulder circle big to small,Shoulders,Intermediate,0.0
Sled Overhead Backward Walk,Shoulders,Beginner,0.0
Log Lift,Shoulders,Beginner,0.0
Standing suspended rear delt fly,Shoulders,Intermediate,0.0
Waiter's carry,Shoulders,Intermediate,0.0
Towel dumbbell front raise,Shoulders,Intermediate,0.0
Single-arm cable front raise,Shoulders,Intermediate,8.7
Cable Internal Rotation,Shoulders,Beginner,8.6
Seated face pull,Shoulders,Intermediate,8.5
Single-arm bent-over cable rear delt fly,Shoulders,Intermediate,8.5
Seated cable shoulder press,Shoulders,Intermediate,8.5
Standing face pull,Shoulders,Intermediate,8.4
Standing cable rear delt row,Shoulders,Intermediate,8.4
Standing Low-Pulley Deltoid Raise,Shoulders,Intermediate,8.3
Standing crossed-cable rear delt fly,Shoulders,Intermediate,8.2
Cable Shoulder Press,Shoulders,Beginner,8.1
Alternating Cable Shoulder Press,Shoulders,Beginner,8.0
Cable Seated Lateral Raise,Shoulders,Intermediate,6.5
Smith machine shoulder press,Shoulders,Intermediate,8.9
Machine shoulder press,Shoulders,Intermediate,8.9
Reverse Machine Flyes,Shoulders,Intermediate,8.2
Single-arm Smith machine upright row,Shoulders,Intermediate,7.2
Machine Lateral Raise,Shoulders,Intermediate,7.2
Handstand push-up,Shoulders,Intermediate,8.7
Upward Stretch,Shoulders,Intermediate,6.7
Shoulder Circles,Shoulders,Intermediate,6.7
Cross-body shoulder stretch,Shoulders,Intermediate,5.9
Arm circle,Shoulders,Intermediate,5.1
Seated Front Deltoid,Shoulders,Beginner,4.5
Shoulder Raise,Shoulders,Intermediate,4.1
Hand Stand Push-Up,Shoulders,Intermediate,0.0
Wall walk,Shoulders,Intermediate,0.0
Return Push from Stance,Shoulders,Intermediate,0.0
Wall shoulder tap,Shoulders,Intermediate,0.0
Bear crawl shoulder tap,Shoulders,Intermediate,0.0
Shadow boxing,Shoulders,Intermediate,0.0
Bear crawl fire feet,Shoulders,Intermediate,0.0
Wall sprawl,Shoulders,Intermediate,0.0
Backward Medicine Ball Throw,Shoulders,Beginner,6.8
Medicine ball scoop throw,Shoulders,Intermediate,3.4
Standing Two-Arm Overhead Throw,Shoulders,Beginner,0.0
Incline face-down bar front raise,Shoulders,Intermediate,8.3
Incline anti-gravity shoulder press,Shoulders,Intermediate,8.2
Side Wrist Pull,Shoulders,Beginner,8.4
Elbow Circles,Shoulders,Beginner,5.3
Kneeling Arm Drill,Shoulders,Beginner,4.0
Band overhead Arms press,Arms,Intermediate,0.0
Incline EZ-bar skullcrusher,Arms,Intermediate,8.9
Decline Close-Grip Bench To Skull Crusher,Arms,Beginner,8.9
Bench Press - Powerlifting,Arms,Intermediate,8.7
Behind-the-head skullcrusher,Arms,Intermediate,8.7
Standing barbell overhead Arms extension,Arms,Intermediate,8.6
Reverse-grip bench press,Arms,Intermediate,8.3
Bench Press with Chains,Arms,Beginner,8.3
Floor Press,Arms,Beginner,8.3
One Arm Floor Press,Arms,Beginner,7.3
Pin Presses,Arms,Beginner,7.0
JM Press With Bands,Arms,Beginner,0.0
JM Press,Arms,Beginner,0.0
Floor Press with Chains,Arms,Beginner,0.0
Reverse Band Bench Press,Arms,Beginner,0.0
Dumbbell floor press,Arms,Intermediate,9.3
Seated Arms press,Arms,Intermediate,8.9
Tricep Dumbbell Kickback,Arms,Intermediate,8.8
Standing Dumbbell Arms Extension,Arms,Intermediate,8.8
Double-arm Arms kick-back,Arms,Intermediate,8.8
Single-arm dumbbell Arms extension,Arms,Intermediate,8.5
Decline Dumbbell Arms Extension,Arms,Beginner,8.5
Dumbbell skullcrusher,Arms,Intermediate,8.4
One Arm Pronated Dumbbell Arms Extension,Arms,Beginner,8.4
One Arm Supinated Dumbbell Arms Extension,Arms,Beginner,8.4
Seated Bent-Over Two-Arm Dumbbell Arms Extension,Arms,Beginner,8.2
Tate Press,Arms,Beginner,8.1
Standing Bent-Over One-Arm Dumbbell Arms Extension,Arms,Intermediate,7.9
Seated Bent-Over One-Arm Dumbbell Arms Extension,Arms,Beginner,7.5
Dumbbell Tricep Extension -Pronated Grip,Arms,Beginner,6.3
V-sit with overhead Arms extension,Arms,Intermediate,0.0
Chain Handle Extension,Arms,Beginner,8.3
Sled Overhead Arms Extension,Arms,Beginner,0.0
Body Arms Press Using Flat Bench,Arms,Intermediate,0.0
Suspended Arms Press,Arms,Beginner,0.0
Cable V-bar push-down,Arms,Intermediate,9.1
Reverse Grip Arms Pushdown,Arms,Intermediate,9.0
Kneeling cable Arms extension,Arms,Intermediate,9.0
Single-arm cable Arms extension,Arms,Intermediate,8.9
Dip Machine,Arms,Intermediate,8.8
Arms Pushdown,Arms,Intermediate,8.6
Low cable overhead Arms extension,Arms,Intermediate,8.6
Lying cable Arms extension,Arms,Intermediate,8.6
Low Cable Arms Extension,Arms,Beginner,8.2
Cable overhead Arms extension,Arms,Intermediate,8.1
Single-arm low cable Arms extension,Arms,Intermediate,8.0
Incline cable straight-bar Arms extension,Arms,Intermediate,7.1
Machine Arms Extension,Arms,Intermediate,7.4
Arms dip,Arms,Intermediate,9.4
Weighted bench dip,Arms,Intermediate,9.1
Push-Ups - Close Arms Position,Arms,Intermediate,9.0
Parallel Bar Dip,Arms,Intermediate,8.8
Ring dip,Arms,Intermediate,8.8
Feet-elevated bench dip,Arms,Intermediate,8.7
Bodyweight Arms press,Arms,Intermediate,8.2
Standing Towel Arms Extension,Arms,Beginner,6.5
Tricep Side Stretch,Arms,Intermediate,5.5
Arms Stretch,Arms,Intermediate,4.8
Overhead Arms,Arms,Beginner,3.3
Russian Bar Dip,Arms,Intermediate,0.0
Straight-arm plank with kick-back,Arms,Intermediate,0.0
Supine Chest Throw,Arms,Beginner,8.2
Decline EZ-bar skullcrusher,Arms,Intermediate,9.3
EZ-Bar Skullcrusher,Arms,Intermediate,9.0
EZ-bar skullcrusher-,Arms,Intermediate,8.1
Lying Close-Grip Barbell Arms Press To Chin,Arms,Beginner,8.1
